iter	Passed	Remaining
0	2	2581
1	6	3180
2	10	3330
3	14	3535
4	18	3595
5	21	3598
6	25	3568
7	28	3573
8	32	3554
9	35	3559
10	39	3557
11	43	3552
12	46	3564
13	50	3559
14	54	3550
15	57	3548
16	62	3594
17	65	3597
18	69	3606
19	73	3606
20	77	3611
21	81	3608
22	84	3603
23	88	3601
24	92	3611
25	96	3606
26	99	3601
27	103	3594
28	107	3592
29	111	3590
30	114	3581
31	118	3576
32	122	3584
33	126	3591
34	130	3588
35	133	3583
36	137	3590
37	141	3587
38	145	3581
39	148	3575
40	152	3571
41	156	3572
42	160	3561
43	163	3555
44	167	3553
45	171	3548
46	174	3544
47	178	3544
48	182	3541
49	186	3541
50	190	3540
51	194	3550
52	199	3558
53	203	3556
54	207	3560
55	211	3560
56	215	3561
57	219	3561
58	223	3571
59	228	3572
60	231	3569
61	235	3562
62	239	3566
63	243	3566
64	247	3561
65	251	3559
66	256	3566
67	259	3563
68	263	3557
69	267	3553
70	271	3556
71	275	3552
72	279	3544
73	282	3540
74	287	3541
75	291	3541
76	295	3538
77	299	3539
78	303	3540
79	308	3542
80	311	3539
81	315	3529
82	319	3530
83	323	3526
84	327	3524
85	331	3521
86	335	3522
87	339	3517
88	342	3507
89	346	3498
90	349	3493
91	353	3488
92	356	3480
93	360	3472
94	363	3464
95	367	3463
96	371	3461
97	375	3455
98	378	3448
99	382	3445
100	386	3438
101	389	3432
102	393	3423
103	396	3417
104	400	3413
105	403	3405
106	407	3396
107	410	3387
108	413	3381
109	417	3374
110	420	3365
111	423	3356
112	426	3350
113	430	3342
114	433	3335
115	436	3328
116	440	3322
117	443	3313
118	447	3311
119	450	3305
120	454	3300
121	457	3295
122	461	3289
123	465	3286
124	468	3279
125	472	3274
126	475	3269
127	479	3267
128	483	3266
129	487	3260
130	490	3254
131	494	3251
132	498	3246
133	501	3240
134	504	3234
135	508	3230
136	512	3229
137	516	3223
138	519	3219
139	524	3220
140	528	3219
141	532	3214
142	535	3211
143	539	3209
144	543	3207
145	547	3204
146	551	3201
147	555	3197
148	559	3193
149	563	3192
150	566	3187
151	570	3182
152	574	3179
153	577	3174
154	581	3169
155	585	3165
156	588	3162
157	593	3161
158	597	3158
159	600	3152
160	603	3146
161	607	3141
162	610	3135
163	614	3130
164	617	3124
165	620	3119
166	624	3116
167	628	3111
168	631	3105
169	635	3100
170	638	3096
171	642	3091
172	645	3086
173	649	3082
174	652	3077
175	656	3073
176	659	3068
177	663	3061
178	666	3057
179	670	3054
180	673	3048
181	677	3043
182	680	3038
183	684	3033
184	687	3028
185	690	3023
186	694	3017
187	697	3012
188	700	3007
189	704	3004
190	708	3001
191	711	2995
192	715	2990
193	718	2985
194	722	2983
195	725	2977
196	728	2971
197	732	2966
198	736	2963
199	740	2960
200	743	2956
201	747	2952
202	751	2948
203	755	2946
204	758	2941
205	762	2938
206	765	2932
207	769	2929
208	772	2925
209	776	2920
210	779	2915
211	783	2913
212	787	2910
213	790	2904
214	794	2899
215	797	2894
216	801	2893
217	805	2889
218	809	2885
219	812	2880
220	816	2878
221	820	2876
222	824	2872
223	828	2868
224	831	2864
225	835	2861
226	839	2857
227	842	2852
228	846	2848
229	850	2847
230	854	2843
231	857	2837
232	860	2834
233	865	2832
234	868	2828
235	872	2823
236	875	2819
237	879	2815
238	883	2812
239	886	2807
240	890	2803
241	893	2799
242	897	2797
243	901	2793
244	905	2789
245	908	2785
246	912	2782
247	916	2778
248	919	2773
249	922	2768
250	926	2763
251	929	2760
252	933	2755
253	936	2750
254	939	2746
255	943	2741
256	946	2736
257	949	2731
258	953	2726
259	956	2721
260	960	2718
261	963	2713
262	966	2709
263	970	2704
264	973	2699
265	976	2694
266	979	2689
267	983	2685
268	986	2681
269	989	2676
270	993	2671
271	996	2667
272	999	2662
273	1003	2658
274	1006	2654
275	1010	2649
276	1013	2645
277	1017	2641
278	1020	2636
279	1023	2633
280	1027	2628
281	1030	2624
282	1034	2620
283	1037	2615
284	1040	2610
285	1043	2606
286	1047	2601
287	1050	2597
288	1054	2593
289	1057	2589
290	1061	2585
291	1064	2581
292	1067	2576
293	1070	2571
294	1074	2567
295	1077	2563
296	1081	2559
297	1084	2554
298	1087	2549
299	1091	2546
300	1095	2543
301	1098	2539
302	1101	2534
303	1105	2531
304	1109	2528
305	1112	2523
306	1116	2519
307	1119	2515
308	1123	2513
309	1127	2508
310	1130	2504
311	1133	2500
312	1138	2498
313	1141	2494
314	1145	2490
315	1148	2485
316	1152	2482
317	1156	2480
318	1160	2476
319	1163	2471
320	1166	2468
321	1170	2465
322	1174	2461
323	1177	2457
324	1181	2453
325	1184	2449
326	1189	2447
327	1192	2443
328	1196	2439
329	1199	2435
330	1203	2432
331	1207	2428
332	1210	2424
333	1213	2420
334	1217	2417
335	1221	2413
336	1224	2408
337	1227	2404
338	1231	2400
339	1235	2398
340	1239	2394
341	1242	2390
342	1245	2386
343	1249	2382
344	1253	2379
345	1256	2374
346	1259	2370
347	1263	2366
348	1266	2363
349	1270	2358
350	1273	2354
351	1276	2350
352	1280	2346
353	1284	2343
354	1287	2338
355	1290	2334
356	1293	2330
357	1297	2326
358	1300	2322
359	1304	2318
360	1307	2314
361	1310	2310
362	1314	2306
363	1317	2302
364	1321	2298
365	1324	2294
366	1328	2290
367	1331	2286
368	1334	2282
369	1338	2278
370	1341	2274
371	1345	2270
372	1348	2267
373	1351	2262
374	1354	2258
375	1358	2253
376	1361	2250
377	1364	2246
378	1368	2242
379	1371	2237
380	1375	2234
381	1378	2230
382	1381	2225
383	1384	2221
384	1388	2217
385	1392	2214
386	1395	2210
387	1399	2206
